nº,Code Link,Lines Before,Lines After,Added Lines,Removed Lines,Code Churn,Relative Churn
132,https://github.com/torvalds/linux/commit/2582d3df95c7,80,80,2,2,4,5
133,https://github.com/torvalds/linux/commit/339cc6ae0f9d,1639,1638,34,35,69,"4,2"
134,https://github.com/torvalds/linux/commit/94bb6d3353c2,2253,2219,16,50,66,"2,92"
135,https://github.com/torvalds/linux/commit/9e3440481845,149,149,1,1,2,"1,34"
136,https://github.com/torvalds/linux/commit/91efafb1dd8f,3162,3163,2,1,3,"0,94"
137,https://github.com/torvalds/linux/commit/cbbaa2727aa3,12697,10273,8,2,10,"0,07"
138,https://github.com/torvalds/linux/commit/e75a6795ed13,2022,1996,218,192,410,"20,27"
139,https://github.com/torvalds/linux/commit/77f59f895da2,58,58,1,0,1,"1,72"
140,https://github.com/torvalds/linux/commit/b9058da8199d,666,665,2,3,5,"0,75"
141,https://github.com/torvalds/linux/commit/4be534102624,8013,8011,16,18,34,"0,42"
142,https://github.com/torvalds/linux/commit/240a6438985c,246,259,13,0,13,"5,28"
143,https://github.com/torvalds/linux/commit/fa2b360f261e,856,856,4,4,8,"0,93"
144,https://github.com/torvalds/linux/commit/9d93a3f5a0c0,3244,3255,13,2,15,"0,46"
145,https://github.com/torvalds/linux/commit/512053a43d95,391,372,22,41,63,"19,11"
146,https://github.com/torvalds/linux/commit/53579e37d13a,10984,11002,19,1,20,"0,18"
147,https://github.com/torvalds/linux/commit/e560c89c8ac0,932,932,10,10,20,"2,14"
148,https://github.com/torvalds/linux/commit/b213646519f4,1345,1349,10,6,16,"1,18"
149,https://github.com/torvalds/linux/commit/969686ee0e0f,2300,2241,0,59,59,"2,56"
150,https://github.com/torvalds/linux/commit/7c32ae35fbf9,711,711,1,1,2,"0,28"
,,,,"47,56","53,37333333","101,2666667","9,565533333"
